City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (1hr),Snow (1hr)
164,Broken Hill,AU,2020-05-11 00:15:20,-31.95,141.43,51.8,53,0,6.93,clear sky,0.0,0.0
165,Lagoa,PT,2020-05-11 00:15:20,39.05,-27.98,57.74,71,52,23.04,broken clouds,0.0,0.0
166,Aras,ES,2020-05-11 00:15:20,42.56,-2.36,55.4,87,75,6.93,broken clouds,0.0,0.0
167,Diez,DE,2020-05-11 00:15:20,50.37,8.02,55.99,89,87,7.7,overcast clouds,0.0,0.0
168,Sorland,NO,2020-05-11 00:15:20,67.67,12.69,36.86,79,100,19.55,light snow,0.0,0.29
169,Nowa Sol,PL,2020-05-11 00:15:20,51.8,15.72,60.01,38,72,7.49,broken clouds,0.0,0.0
170,Greenwood,US,2020-05-11 00:15:20,34.17,-82.12,68.0,55,1,5.82,clear sky,0.0,0.0
171,Parana,AR,2020-05-11 00:15:20,-31.73,-60.52,75.0,72,53,1.01,broken clouds,0.0,0.0
172,Ribeira Grande,PT,2020-05-11 00:15:21,38.52,-28.7,58.77,70,29,19.6,scattered clouds,0.0,0.0
173,Zheleznodorozhnyy,RU,2020-05-11 00:15:21,55.75,38.0,55.4,47,100,8.95,overcast clouds,0.0,0.0
174,Turkmenabat,TM,2020-05-11 00:15:21,39.07,63.58,68.0,56,61,4.7,broken clouds,0.0,0.0
175,Chiang Khong,TH,2020-05-11 00:15:21,20.26,100.4,73.0,69,19,0.87,few clouds,0.0,0.0
176,Meulaboh,ID,2020-05-11 00:15:21,4.14,96.13,77.88,88,97,4.36,light rain,0.97,0.0
177,San Patricio,MX,2020-05-11 00:15:21,19.22,-104.7,80.6,78,40,11.41,scattered clouds,0.0,0.0
178,Acarau,BR,2020-05-11 00:15:21,-2.89,-40.12,76.78,85,100,11.14,overcast clouds,0.0,0.0
179,Kununurra,AU,2020-05-11 00:15:21,-15.77,128.73,78.8,27,38,12.75,scattered clouds,0.0,0.0
180,Tucurui,BR,2020-05-11 00:15:21,-3.77,-49.67,76.15,94,84,3.62,light rain,0.16,0.0
181,Port Dover,CA,2020-05-11 00:15:22,42.78,-80.2,52.0,66,96,8.9,overcast clouds,0.0,0.0
182,Alexandria,EG,2020-05-11 00:13:48,31.22,29.96,59.0,93,0,2.24,clear sky,0.0,0.0
183,Nishihara,JP,2020-05-11 00:15:22,26.18,127.76,77.0,94,90,4.7,overcast clouds,0.0,0.0
184,Veraval,IN,2020-05-11 00:15:22,20.9,70.37,80.29,84,0,10.16,clear sky,0.0,0.0
185,Port Elizabeth,ZA,2020-05-11 00:15:22,-33.92,25.57,51.8,76,0,4.7,clear sky,0.0,0.0
186,Omboue,GA,2020-05-11 00:15:22,-1.57,9.26,74.26,91,100,3.78,overcast clouds,0.0,0.0
187,Zeya,RU,2020-05-11 00:15:22,53.75,127.27,42.85,62,46,11.03,scattered clouds,0.0,0.0
188,Panzhihua,CN,2020-05-11 00:15:22,26.59,101.71,66.99,50,0,1.63,clear sky,0.0,0.0
189,Filingue,NE,2020-05-11 00:15:22,14.35,3.32,84.83,52,31,22.06,scattered clouds,0.0,0.0
